2	Lauren Bacall	1924	2014	actress,soundtrack
4	John Belushi	1949	1982	actor,writer,soundtrack
5	Ingmar Bergman	1918	2007	writer,director,actor
6	Ingrid Bergman	1915	1982	actress,soundtrack,producer
7	Humphrey Bogart	1899	1957	actor,soundtrack,producer
8	Marlon Brando	1924	2004	actor,soundtrack,director
9	Richard Burton	1925	1984	actor,producer,soundtrack
11	Gary Cooper	1901	1961	actor,soundtrack,producer
12	Bette Davis	1908	1989	actress,soundtrack,make_up_department
13	Doris Day	1922	-1	soundtrack,actress,producer
15	James Dean	1931	1955	actor,miscellaneous
16	Georges Delerue	1925	1992	composer,soundtrack,music_department
17	Marlene Dietrich	1901	1992	soundtrack,actress,music_department
18	Kirk Douglas	1916	-1	actor,producer,soundtrack
19	Federico Fellini	1920	1993	writer,director,assistant_director
20	Henry Fonda	1905	1982	actor,producer,soundtrack
21	Joan Fontaine	1917	2013	actress,soundtrack,producer
22	Clark Gable	1901	1960	actor,soundtrack,producer
23	Judy Garland	1922	1969	soundtrack,actress
24	John Gielgud	1904	2000	actor,writer,director
25	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer
26	Cary Grant	1904	1986	actor,soundtrack,producer
27	Alec Guinness	1914	2000	actor,soundtrack,writer
30	Audrey Hepburn	1929	1993	actress,soundtrack
31	Katharine Hepburn	1907	2003	actress,soundtrack,writer
32	Charlton Heston	1923	2008	actor,director,writer
33	Alfred Hitchcock	1899	1980	actor,director,producer
34	William Holden	1918	1981	actor,soundtrack
35	James Horner	1953	2015	music_department,soundtrack,composer
36	Buster Keaton	1895	1966	actor,writer,director
37	Gene Kelly	1912	1996	actor,soundtrack,director
38	Grace Kelly	1929	1982	actress,soundtrack
40	Stanley Kubrick	1928	1999	director,writer,producer
41	Akira Kurosawa	1910	1998	writer,director,assistant_director
44	Burt Lancaster	1913	1994	actor,producer,miscellaneous
45	Bruce Lee	1940	1973	actor,miscellaneous,producer
46	Vivien Leigh	1913	1967	actress,soundtrack,writer
48	Peter Lorre	1904	1964	actor,soundtrack,writer
49	Henry Mancini	1924	1994	music_department,soundtrack,composer
50	Groucho Marx	1890	1977	soundtrack,actor,writer
51	James Mason	1909	1984	actor,producer,writer
52	Marcello Mastroianni	1924	1996	actor,soundtrack,producer
53	Robert Mitchum	1917	1997	actor,soundtrack,producer
54	Marilyn Monroe	1926	1962	soundtrack,actress,writer
55	Alfred Newman	1901	1970	music_department,composer,soundtrack
56	Paul Newman	1925	2008	actor,producer,director
59	Laurence Olivier	1907	1989	actor,producer,director
60	Gregory Peck	1916	2003	actor,producer,soundtrack
61	Tyrone Power	1914	1958	actor,soundtrack,producer
63	Anthony Quinn	1915	2001	actor,producer,soundtrack
64	Edward G. Robinson	1893	1973	actor,soundtrack,writer
65	Nino Rota	1911	1979	composer,soundtrack,music_department
67	Miklós Rózsa	1907	1995	music_department,composer,soundtrack
69	Frank Sinatra	1915	1998	soundtrack,actor,producer
70	Max Steiner	1888	1971	music_department,composer,soundtrack
71	James Stewart	1908	1997	actor,soundtrack,director
72	Elizabeth Taylor	1932	2011	actress,soundtrack,producer
75	Spencer Tracy	1900	1967	actor,soundtrack
76	François Truffaut	1932	1984	writer,director,producer
77	Franz Waxman	1906	1967	music_department,composer,soundtrack
78	John Wayne	1907	1979	actor,producer,soundtrack
80	Orson Welles	1915	1985	actor,director,writer
81	Natalie Wood	1938	1981	actress,soundtrack,music_department
84	Li Gong	1965	-1	actress
90	Armin Mueller-Stahl	1930	-1	actor,director,writer
91	Gérard Pirès	1942	-1	director,writer,actor
92	John Cleese	1939	-1	actor,writer,producer
93	Brad Pitt	1963	-1	actor,producer,soundtrack
95	Woody Allen	1935	-1	writer,director,actor
96	Gillian Anderson	1968	-1	actress,producer,soundtrack
97	Pamela Anderson	1967	-1	actress,producer,director
98	Jennifer Aniston	1969	-1	actress,producer,soundtrack
99	Patricia Arquette	1968	-1	actress,director,soundtrack
100	Rowan Atkinson	1955	-1	actor,writer,producer
101	Dan Aykroyd	1952	-1	writer,actor,producer
102	Kevin Bacon	1958	-1	actor,producer,soundtrack
103	Fairuza Balk	1974	-1	actress,soundtrack
104	Antonio Banderas	1960	-1	actor,soundtrack,producer
105	Adrienne Barbeau	1945	-1	actress,writer,soundtrack
106	Drew Barrymore	1975	-1	producer,actress,soundtrack
107	Kim Basinger	1953	-1	actress,soundtrack,producer
108	Luc Besson	1959	-1	writer,producer,director
109	Yasmine Bleeth	1968	-1	actress
110	Kenneth Branagh	1960	-1	actor,producer,director
111	Matthew Broderick	1962	-1	actor,soundtrack,director
112	Pierce Brosnan	1953	-1	actor,producer,soundtrack
113	Sandra Bullock	1964	-1	producer,actress,soundtrack
114	Steve Buscemi	1957	-1	actor,director,producer
115	Nicolas Cage	1964	-1	actor,producer,soundtrack
116	James Cameron	1954	-1	writer,producer,director
117	Neve Campbell	1973	-1	actress,producer,soundtrack
118	John Carpenter	1948	-1	soundtrack,writer,music_department
119	Tia Carrere	1967	-1	actress,soundtrack,producer
120	Jim Carrey	1962	-1	actor,writer,producer
121	Phoebe Cates	1963	-1	actress,soundtrack
122	Charles Chaplin	1889	1977	writer,soundtrack,actor
123	George Clooney	1961	-1	actor,producer,director
124	Jennifer Connelly	1970	-1	actress
125	Sean Connery	1930	-1	actor,producer,soundtrack
126	Kevin Costner	1955	-1	actor,producer,soundtrack
127	Wes Craven	1939	2015	writer,producer,director
128	Russell Crowe	1964	-1	actor,soundtrack,producer
129	Tom Cruise	1962	-1	actor,producer,soundtrack
130	Jamie Lee Curtis	1958	-1	actress,producer,director
131	John Cusack	1966	-1	actor,producer,writer
132	Claire Danes	1979	-1	actress,producer,soundtrack
133	Geena Davis	1956	-1	actress,producer,soundtrack
134	Robert De Niro	1943	-1	actor,producer,soundtrack
136	Johnny Depp	1963	-1	actor,producer,soundtrack
137	Bo Derek	1956	-1	actress,producer,miscellaneous
138	Leonardo DiCaprio	1974	-1	actor,producer,writer
139	Cameron Diaz	1972	-1	actress,producer,soundtrack
140	Michael Douglas	1944	-1	actor,producer,soundtrack
141	David Duchovny	1960	-1	actor,producer,director
142	Clint Eastwood	1930	-1	actor,producer,director
143	Erika Eleniak	1969	-1	actress
144	Cary Elwes	1962	-1	actor,producer,director
145	Sherilyn Fenn	1965	-1	actress,soundtrack
146	Ralph Fiennes	1962	-1	actor,director,soundtrack
147	Colin Firth	1960	-1	actor,producer,soundtrack
148	Harrison Ford	1942	-1	actor,writer,producer
149	Jodie Foster	1962	-1	actress,director,producer
150	Michael J. Fox	1961	-1	actor,producer,miscellaneous
151	Morgan Freeman	1937	-1	actor,producer,soundtrack
152	Richard Gere	1949	-1	actor,soundtrack,producer
153	Gina Gershon	1962	-1	actress,soundtrack,producer
154	Mel Gibson	1956	-1	actor,producer,director
155	Whoopi Goldberg	1955	-1	actress,producer,writer
156	Jeff Goldblum	1952	-1	actor,soundtrack,producer
157	Linda Hamilton	1956	-1	actress
158	Tom Hanks	1956	-1	producer,actor,soundtrack
159	Teri Hatcher	1964	-1	actress,soundtrack,writer
160	Ethan Hawke	1970	-1	actor,writer,director
161	Salma Hayek	1966	-1	actress,producer,soundtrack
162	Anne Heche	1969	-1	actress,writer,producer
163	Dustin Hoffman	1937	-1	actor,producer,soundtrack
164	Anthony Hopkins	1937	-1	actor,soundtrack,composer
165	Ron Howard	1954	-1	actor,producer,director
166	Helen Hunt	1963	-1	actress,producer,director
167	Elizabeth Hurley	1965	-1	actress,producer
168	Samuel L. Jackson	1948	-1	actor,producer,soundtrack
169	Tommy Lee Jones	1946	-1	actor,director,soundtrack
170	Milla Jovovich	1975	-1	actress,soundtrack,composer
171	Ashley Judd	1968	-1	actress,producer,director
172	Harvey Keitel	1939	-1	actor,producer,soundtrack
173	Nicole Kidman	1967	-1	actress,producer,soundtrack
174	Val Kilmer	1959	-1	actor,soundtrack,producer
175	Stephen King	1947	-1	writer,producer,actor
176	Nastassja Kinski	1961	-1	actress,producer,soundtrack
177	Kevin Kline	1947	-1	actor,soundtrack,director
178	Diane Lane	1965	-1	actress,soundtrack
179	Jude Law	1972	-1	actor,producer,soundtrack
180	David Lean	1908	1991	editor,director,writer
182	Jennifer Lopez	1969	-1	actress,producer,soundtrack
184	George Lucas	1944	-1	writer,producer,director
185	Dolph Lundgren	1957	-1	actor,producer,director
186	David Lynch	1946	-1	writer,director,producer
187	Madonna	1958	-1	soundtrack,actress,music_department
188	Steve Martin	1945	-1	writer,actor,soundtrack
190	Matthew McConaughey	1969	-1	actor,producer,soundtrack
191	Ewan McGregor	1971	-1	actor,writer,soundtrack
193	Demi Moore	1962	-1	actress,producer,director
194	Julianne Moore	1960	-1	actress,soundtrack,producer
195	Bill Murray	1950	-1	actor,soundtrack,writer
196	Mike Myers	1963	-1	actor,writer,soundtrack
197	Jack Nicholson	1937	-1	actor,soundtrack,producer
198	Gary Oldman	1958	-1	actor,soundtrack,producer
199	Al Pacino	1940	-1	actor,soundtrack,director
200	Bill Paxton	1955	2017	actor,producer,writer
201	Michelle Pfeiffer	1958	-1	actress,soundtrack,producer
202	Ryan Phillippe	1974	-1	actor,producer,director
203	River Phoenix	1970	1993	actor,soundtrack
204	Natalie Portman	1981	-1	actress,producer,soundtrack
205	Parker Posey	1968	-1	actress,soundtrack,writer
206	Keanu Reeves	1964	-1	actor,producer,soundtrack
207	Christina Ricci	1980	-1	actress,producer,soundtrack
208	Molly Ringwald	1968	-1	actress,soundtrack,music_department
209	Tim Robbins	1958	-1	actor,producer,director
210	Julia Roberts	1967	-1	actress,producer,soundtrack
211	Mimi Rogers	1956	-1	actress,producer,soundtrack
212	Meg Ryan	1961	-1	actress,producer,soundtrack
213	Winona Ryder	1971	-1	actress,producer,soundtrack
214	Mia Sara	1967	-1	actress,soundtrack
215	Susan Sarandon	1946	-1	actress,producer,soundtrack
216	Arnold Schwarzenegger	1947	-1	actor,producer,director
217	Martin Scorsese	1942	-1	producer,director,actor
218	Kristin Scott Thomas	1960	-1	actress,soundtrack,director
219	Steven Seagal	1952	-1	producer,actor,writer
221	Charlie Sheen	1965	-1	actor,producer,soundtrack
222	Brooke Shields	1965	-1	actress,producer,soundtrack
223	Elisabeth Shue	1963	-1	actress,soundtrack,producer
224	Alicia Silverstone	1976	-1	actress,producer,soundtrack
225	Christian Slater	1969	-1	actor,producer,soundtrack
226	Will Smith	1968	-1	music_department,actor,producer
228	Kevin Spacey	1959	-1	actor,producer,soundtrack
229	Steven Spielberg	1946	-1	producer,writer,director
230	Sylvester Stallone	1946	-1	actor,writer,producer
231	Oliver Stone	1946	-1	director,producer,writer
232	Sharon Stone	1958	-1	actress,producer,soundtrack
233	Quentin Tarantino	1963	-1	writer,actor,producer
234	Charlize Theron	1975	-1	actress,producer,soundtrack
235	Uma Thurman	1970	-1	actress,soundtrack,writer
236	Jennifer Tilly	1958	-1	actress,soundtrack,writer
237	John Travolta	1954	-1	actor,soundtrack,producer
239	Liv Tyler	1977	-1	actress,producer,soundtrack
240	Skeet Ulrich	1970	-1	actor,director,producer
241	Jean-Claude Van Damme	1960	-1	actor,producer,writer
242	Mark Wahlberg	1971	-1	producer,actor,soundtrack
243	Denzel Washington	1954	-1	actor,producer,soundtrack
244	Sigourney Weaver	1949	-1	actress,soundtrack,producer
245	Robin Williams	1951	2014	actor,soundtrack,writer
246	Bruce Willis	1955	-1	actor,soundtrack,producer
247	John Woo	1946	-1	producer,director,writer
249	James Woods	1947	-1	actor,producer,soundtrack
250	Renée Zellweger	1969	-1	actress,soundtrack,producer
251	Timothy Dowling	1973	-1	actor,writer
255	Ben Affleck	1972	-1	producer,actor,writer
256	Jenny Agutter	1952	-1	actress,soundtrack
257	Alan Alda	1936	-1	actor,miscellaneous,soundtrack
260	Joan Allen	1956	-1	actress,producer
261	Karen Allen	1951	-1	actress,director,soundtrack
262	Nancy Allen	1950	-1	actress,soundtrack
263	Kirstie Alley	1951	-1	actress,producer,writer
264	Pedro Almodóvar	1949	-1	writer,director,soundtrack
265	Robert Altman	1925	2006	director,producer,writer
266	Ursula Andress	1936	-1	actress
267	Julie Andrews	1935	-1	actress,soundtrack,producer
268	Ann-Margret	1941	-1	actress,soundtrack
269	Jean-Jacques Annaud	1943	-1	director,writer,producer
270	Gabrielle Anwar	1970	-1	actress,producer,soundtrack
271	Anne Archer	1947	-1	actress,producer,soundtrack
272	Fanny Ardant	1949	-1	actress,director,writer
273	Alan Arkin	1934	-1	actor,soundtrack,director
274	David Arquette	1971	-1	producer,actor,director
275	Rosanna Arquette	1959	-1	actress,director,producer
276	Sean Astin	1971	-1	actor,producer,director
277	Richard Attenborough	1923	2014	actor,producer,director
279	Hank Azaria	1964	-1	actor,soundtrack,producer
281	Scott Baio	1960	-1	actor,director,producer
284	Adam Baldwin	1962	-1	actor,soundtrack
285	Alec Baldwin	1958	-1	actor,producer,soundtrack
286	Stephen Baldwin	1966	-1	actor,producer,director
287	William Baldwin	1963	-1	actor,producer,stunts
288	Christian Bale	1974	-1	actor,editorial_department,producer
289	Ellen Barkin	1954	-1	actress,producer
290	John Barry	1933	2011	music_department,soundtrack,composer
291	Angela Bassett	1958	-1	actress,producer,director
293	Sean Bean	1959	-1	actor,producer,animation_department
294	Amanda Bearse	1958	-1	actress,director,producer
295	Kate Beckinsale	1973	-1	actress,soundtrack
297	Tom Berenger	1949	-1	actor,producer,writer
298	Candice Bergen	1946	-1	actress,producer,soundtrack
299	Michael Biehn	1956	-1	actor,producer,director
300	Juliette Binoche	1964	-1	actress,art_department,miscellaneous
301	Thora Birch	1982	-1	actress,producer,soundtrack
302	Jacqueline Bisset	1944	-1	actress,producer
303	Honor Blackman	1925	-1	actress,soundtrack
304	Linda Blair	1959	-1	actress,soundtrack,producer
305	Mel Blanc	1908	1989	actor,soundtrack,music_department
306	Brian Blessed	1936	-1	actor,soundtrack,director
307	Helena Bonham Carter	1966	-1	actress,soundtrack,producer
308	Ernest Borgnine	1917	2012	actor,soundtrack,producer
309	David Bowie	1947	2016	soundtrack,actor,composer
310	Bruce Boxleitner	1950	-1	actor,producer
312	Amy Brenneman	1964	-1	actress,producer,writer
313	Jeff Bridges	1949	-1	actor,soundtrack,producer
314	Charles Bronson	1921	2003	actor
316	Mel Brooks	1926	-1	actor,writer,soundtrack
317	Clancy Brown	1959	-1	actor,soundtrack,producer
318	Tim Burton	1958	-1	producer,miscellaneous,director
321	Gabriel Byrne	1950	-1	actor,producer,writer
322	Emmanuelle Béart	1963	-1	actress,soundtrack
323	Michael Caine	1933	-1	actor,producer,soundtrack
325	David Caruso	1956	-1	actor,producer
326	Kim Cattrall	1956	-1	actress,producer,soundtrack
329	Jackie Chan	1954	-1	actor,stunts,producer
330	Stockard Channing	1944	-1	actress,soundtrack,miscellaneous
331	Chevy Chase	1943	-1	actor,writer,soundtrack
332	Don Cheadle	1964	-1	actor,producer,soundtrack
333	Cher	1946	-1	soundtrack,actress,director
334	Yun-Fat Chow	1955	-1	actor,writer,soundtrack
335	Glenn Close	1947	-1	actress,soundtrack,producer
336	James Coburn	1928	2002	actor,producer,director
337	Rachael Leigh Cook	1979	-1	actress,producer
338	Francis Ford Coppola	1939	-1	producer,director,writer
339	Roger Corman	1926	-1	producer,director,actor
341	Michael Crichton	1942	2008	writer,producer,director
342	James Cromwell	1940	-1	actor,producer,soundtrack
343	David Cronenberg	1943	-1	director,actor,writer
344	Denise Crosby	1957	-1	actress,producer
345	Billy Crystal	1948	-1	actor,writer,producer
346	Macaulay Culkin	1980	-1	actor,producer,director
347	Tim Curry	1946	-1	actor,soundtrack,producer
348	Tony Curtis	1925	2010	actor,soundtrack,producer
349	Joan Cusack	1962	-1	actress,soundtrack,writer
350	Beverly D'Angelo	1951	-1	actress,soundtrack,producer
352	Vincent D'Onofrio	1959	-1	actor,producer,soundtrack
353	Willem Dafoe	1955	-1	actor,soundtrack,producer
354	Matt Damon	1970	-1	producer,actor,soundtrack
358	Daniel Day-Lewis	1957	-1	actor,music_department,soundtrack
360	Rebecca De Mornay	1959	-1	actress,soundtrack,producer
361	Brian De Palma	1940	-1	director,writer,producer
362	Danny DeVito	1944	-1	actor,producer,director
365	Julie Delpy	1969	-1	actress,writer,director
366	Catherine Deneuve	1943	-1	actress,soundtrack,producer
367	Gérard Depardieu	1948	-1	actor,producer,soundtrack
368	Laura Dern	1967	-1	actress,producer,writer
369	Matt Dillon	1964	-1	actor,art_department,director
370	Walt Disney	1901	1966	producer,actor,miscellaneous
372	Amanda Donohoe	1962	-1	actress,producer
374	Brad Dourif	1950	-1	actor
375	Robert Downey Jr.	1965	-1	actor,producer,soundtrack
376	Fran Drescher	1957	-1	writer,actress,producer
377	Richard Dreyfuss	1947	-1	actor,producer,soundtrack
378	Minnie Driver	1970	-1	actress,soundtrack,producer
379	Kirsten Dunst	1982	-1	actress,producer,director
380	Robert Duvall	1931	-1	actor,producer,soundtrack
381	Anthony Edwards	1962	-1	actor,producer,director
382	Atom Egoyan	1960	-1	director,writer,producer
383	Jennifer Ehle	1969	-1	actress
384	Danny Elfman	1953	-1	music_department,soundtrack,composer
385	Sam Elliott	1944	-1	actor,producer,writer
386	Roland Emmerich	1955	-1	writer,producer,director
387	Robert Englund	1947	-1	actor,miscellaneous,director
388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer
389	Emilio Estevez	1962	-1	actor,director,writer
390	Joe Eszterhas	1944	-1	writer,producer,miscellaneous
391	Rupert Everett	1959	-1	actor,soundtrack,producer
394	Chris Farley	1964	1997	actor,soundtrack,stunts
396	Farrah Fawcett	1947	2009	actress,producer,soundtrack
397	Corey Feldman	1971	-1	actor,producer,soundtrack
398	Sally Field	1946	-1	actress,producer,soundtrack
399	David Fincher	1962	-1	producer,director,actor
400	Linda Fiorentino	1958	-1	actress,soundtrack
401	Laurence Fishburne	1961	-1	actor,producer,director
402	Carrie Fisher	1956	2016	actress,soundtrack,writer
403	Bridget Fonda	1964	-1	actress,soundtrack
404	Jane Fonda	1937	-1	actress,producer,soundtrack
406	John Ford	1894	1973	director,producer,writer
408	Jonathan Frakes	1952	-1	actor,director,producer
409	Brendan Fraser	1968	-1	actor,producer,soundtrack
411	Edward Furlong	1977	-1	actor,producer,soundtrack
412	Andy Garcia	1956	-1	actor,producer,soundtrack
413	Janeane Garofalo	1964	-1	actress,writer,producer
414	Teri Garr	1947	-1	actress,soundtrack
415	Jami Gertz	1965	-1	actress,producer,executive
416	Terry Gilliam	1940	-1	writer,actor,animation_department
417	Crispin Glover	1964	-1	actor,soundtrack,producer
418	Danny Glover	1946	-1	actor,producer,director
419	Jean-Luc Godard	1930	-1	director,writer,editor
420	Valeria Golino	1965	-1	actress,producer,soundtrack
421	Cuba Gooding Jr.	1968	-1	actor,soundtrack,producer
